date,t,time_end,L_actual_kw,P_act_kw,L_fc_kw,P_fc_kw,R_reserve_kwh,x_plan_kwh,x_final_kwh,y_used_kwh,r_purchase_waste_kwh,u_charge_kwh,v_discharge_kwh,e_emergency_kwh,w_pv_waste_kwh,g_pv_used_kwh,E_end_kwh
2025-02-01,1,0:10,2532.1822,0.0,2615.908029257681,0.0,568.7034812824407,435.9846715429468,435.9846715429468,435.9846715429468,0.0,13.954304876280105,0.0,0.0,0.0,0.0,10797.36453863009
2025-02-01,2,0:20,2492.4439,0.0,2587.2352025405266,0.0,568.7034812824407,431.20586709008774,431.20586709008774,418.3356070776773,12.870260012410426,2.9282904110105945,0.0,0.0,0.0,0.0,10800.0
2025-02-01,3,0:30,2464.3,0.0,2571.7036077744074,0.0,568.7034812824407,428.61726796240123,428.61726796240123,410.7166666666667,17.900601295734532,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,4,0:40,2581.7688,0.0,2691.215692694635,0.0,568.7034812824407,448.53594878243916,448.53594878243916,430.29479999999995,18.24114878243921,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,5,0:50,2546.4635,0.0,2823.361286822255,0.0,568.7034812824407,470.5602144703758,470.5602144703758,424.4105833333333,46.14963113704249,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,6,1:00,2436.31,0.0,2857.800464017903,0.0,568.7034812824407,476.30007733631714,476.30007733631714,406.0516666666666,70.24841066965053,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,7,1:10,2620.5011,0.0,2787.247661146507,0.0,568.7034812824407,464.5412768577512,464.5412768577512,436.7501833333333,27.791093524417875,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,8,1:20,2710.7861,0.0,2672.862406987987,0.0,568.7034812824407,445.47706783133117,445.47706783133117,445.47706783133117,0.0,0.0,6.320615502002113,0.0,0.0,0.0,10792.977093886664
2025-02-01,9,1:30,2676.48,0.0,2633.3638479523647,0.0,568.7034812824407,438.8939746587274,438.8939746587274,438.8939746587274,0.0,0.0,7.186025341272568,0.0,0.0,0.0,10784.99262128525
2025-02-01,10,1:40,2830.598,0.0,2767.2136477472177,0.0,568.7034812824407,461.20227462453624,461.20227462453624,461.20227462453624,0.0,0.0,10.564058708797063,0.0,0.0,0.0,10773.254778275475
2025-02-01,11,1:50,2688.1558,0.0,2912.7777798695965,0.0,568.7034812824407,485.4629633115994,485.4629633115994,477.7428796939161,7.720083617683315,29.716913027249472,0.0,0.0,0.0,0.0,10800.0
2025-02-01,12,2:00,2384.42,0.0,2944.471888366551,0.0,568.7034812824407,490.74531472775845,490.74531472775845,397.4033333333333,93.34198139442515,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,13,2:10,2604.5438,0.0,2878.777522025564,0.0,568.7034812824407,479.7962536709273,479.7962536709273,434.0906333333333,45.705620337593984,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,14,2:20,2943.3655,0.0,2884.328704340999,0.0,568.7034812824407,480.72145072349986,480.72145072349986,480.72145072349986,0.0,0.0,9.839465943166772,0.0,0.0,0.0,10789.067260063148
2025-02-01,15,2:30,3019.32,0.0,2947.245286596521,0.0,568.7034812824407,491.2075477660868,491.2075477660868,491.2075477660868,0.0,0.0,12.012452233913223,0.0,0.0,0.0,10775.720090914356
2025-02-01,16,2:40,2844.4369,0.0,2912.744648443182,0.0,568.7034812824407,485.457441407197,485.457441407197,485.457441407197,0.0,11.384624740530342,0.0,0.0,0.0,0.0,10785.966253180834
2025-02-01,17,2:50,2768.3064,0.0,2912.7489991155057,0.0,568.7034812824407,485.45816651925094,485.45816651925094,476.9774520212961,8.480714497954864,15.59305202129609,0.0,0.0,0.0,0.0,10800.0
2025-02-01,18,3:00,2861.65,0.0,2987.805299607014,0.0,568.7034812824407,497.96754993450236,497.96754993450236,476.94166666666666,21.025883267835695,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,19,3:10,2900.3973,0.0,3023.4885334413107,0.0,568.7034812824407,503.91475557355176,503.91475557355176,483.39955,20.515205573551782,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,20,3:20,2919.6115,0.0,2977.6360547193244,0.0,568.7034812824407,496.27267578655403,496.27267578655403,486.6019166666666,9.670759119887407,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,21,3:30,2993.09,0.0,2899.388093337757,0.0,568.7034812824407,483.23134888962613,483.23134888962613,483.23134888962613,0.0,0.0,15.616984443707224,0.0,0.0,0.0,10782.647795062547
2025-02-01,22,3:40,3109.8584,0.0,2897.959450043362,0.0,568.7034812824407,482.99324167389364,482.99324167389364,482.99324167389364,0.0,0.0,35.316491659439635,0.0,0.0,0.0,10743.40724877428
2025-02-01,23,3:50,3054.8008,0.0,3047.0777791693054,0.0,568.7034812824407,507.8462965282175,507.8462965282175,507.8462965282175,0.0,0.0,1.2871701384491416,0.0,0.0,0.0,10741.977059731558
2025-02-01,24,4:00,2901.7,0.0,3199.4398352900416,0.0,568.7034812824407,533.2399725483402,533.2399725483402,533.2399725483402,0.0,49.623305881673616,0.0,0.0,0.0,0.0,10786.638035025064
2025-02-01,25,4:10,2947.1208,0.0,3115.742869124883,0.0,568.7034812824407,519.2904781874804,519.2904781874804,506.0334277499291,13.2570504375513,14.84662774992911,0.0,0.0,0.0,0.0,10800.0
2025-02-01,26,4:20,3027.8717,0.0,3035.878173394163,0.0,568.7034812824407,505.97969556569376,505.97969556569376,504.64528333333334,1.334412232360421,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,27,4:30,3033.47,0.0,3104.6797063231115,0.0,568.7034812824407,517.4466177205186,517.4466177205186,505.57833333333326,11.868284387185327,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,28,4:40,3019.3858,0.0,3235.167807547611,0.0,568.7034812824407,539.1946345912685,539.1946345912685,503.23096666666663,35.96366792460185,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,29,4:50,3017.0819,0.0014,3277.1020104591184,0.0,568.7034812824407,546.183668409853,546.183668409853,502.84675000000004,43.336918409852956,0.0,0.0,0.0,0.0,0.00023333333333333333,10800.0
2025-02-01,30,5:00,2997.85,0.0,3228.1933799667418,0.0,568.7034812824407,538.0322299944569,538.0322299944569,499.64166666666665,38.39056332779023,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,31,5:10,2932.7015,0.0,3211.0252893242905,0.01802096774193549,568.7034812824407,535.1678780594248,535.1678780594248,488.78358333333335,46.38429472609141,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,32,5:20,2991.1125,0.0199,3210.8783888834196,0.01802096774193549,568.7034812824407,535.143394652613,535.143394652613,498.51543333333336,36.62796131927962,0.0,0.0,0.0,0.0,0.0033166666666666665,10800.0
2025-02-01,33,5:30,3175.34,0.0,3232.5842803828227,0.01802096774193549,568.7034812824407,538.7610432358468,538.7610432358468,529.2233333333334,9.537709902513484,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,34,5:40,3284.4619,0.0,3299.7237188418126,0.01802096774193549,568.7034812824407,566.83354493297,566.83354493297,547.4103166666666,19.42322826630334,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,35,5:50,3187.3644,0.2774,3294.8416138424736,0.01802096774193549,568.7034812824407,0.0,0.0,0.0,0.0,0.0,531.1811666666666,0.0,0.0,0.04623333333333333,10209.798703703704
2025-02-01,36,6:00,3065.9,0.0,3243.0001506265307,0.01802096774193549,568.7034812824407,0.0,0.0,0.0,0.0,0.0,510.98333333333335,0.0,0.0,0.0,9642.039444444445
2025-02-01,37,6:10,3211.1231,0.0,3273.680732733372,60.806551188776005,568.7034812824407,0.0,0.0,0.0,0.0,0.0,535.1871833333332,0.0,0.0,0.0,9047.387018518519
2025-02-01,38,6:20,3203.9961,3.8641,3252.3141124362937,60.806551188776005,568.7034812824407,0.0,0.0,0.0,0.0,0.0,533.3553333333333,0.0,0.0,0.6440166666666667,8454.769981481482
2025-02-01,39,6:30,3027.12,0.0,3188.6851048042927,60.806551188776005,568.7034812824407,0.0,0.0,0.0,0.0,0.0,504.52,0.0,0.0,0.0,7894.192203703705
2025-02-01,40,6:40,3117.3221,0.0,3275.4668722611846,60.806551188776005,568.7034812824407,0.0,0.0,0.0,0.0,0.0,519.5536833333333,0.0,0.0,0.0,7316.910333333334
2025-02-01,41,6:50,3398.49,89.6095,3549.129085087715,72.08363778270795,568.7034812824407,0.0,0.0,0.0,0.0,0.0,551.4800833333333,0.0,0.0,14.934916666666666,6704.154685185186
2025-02-01,42,7:00,3652.75,340.5,3811.382458436357,114.23580380067443,568.7034812824407,0.0,0.0,0.0,0.0,0.0,552.0416666666666,0.0,0.0,56.75,6090.775055555557
