date,t,time_end,L_actual_kw,P_act_kw,L_fc_kw,P_fc_kw,m_safety_kw,x_plan_kwh,y_used_kwh,r_purchase_waste_kwh,u_charge_kwh,v_discharge_kwh,e_emergency_kwh,w_pv_waste_kwh,g_pv_used_kwh,E_end_kwh
2025-02-01,1,00:10,2532.1822,0.0,2629.5205645666315,0.0,103.67544580939006,455.5326683960036,422.0303666666667,33.50230172933692,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,2,00:20,2492.4439,0.0,2602.7014023633865,0.0,95.4516230801997,449.6921709072649,415.4073166666667,34.28485424059818,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,3,00:30,2464.3,0.0,2584.9940586744638,0.0,107.84668717341347,448.8067909746462,410.7166666666667,38.09012430797952,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,4,00:40,2581.7688,0.0,2701.6406345293503,0.0,134.95808480055047,472.76645322165007,430.29479999999995,42.471653221650115,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,5,00:50,2546.4635,0.0,2829.888820336231,0.0,179.66577959858944,501.5924333224701,424.4105833333333,77.18184998913677,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,6,01:00,2436.31,0.0,2864.70483179224,0.0,201.8885458336665,511.09889627098363,406.0516666666666,105.04722960431701,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,7,01:10,2620.5011,0.0,2797.723251375572,0.0,168.54308526742705,494.37772277383317,436.7501833333333,57.627539440499845,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,8,01:20,2710.7861,0.0,2684.8300346235287,0.0,158.75423359263436,473.93071136936044,451.7976833333333,22.133028036027156,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,9,01:30,2676.48,0.0,2644.5949260465177,0.0,195.22393579041758,473.30314363948924,446.08,27.22314363948925,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,10,01:40,2830.598,0.0,2777.0209902109063,0.0,190.04216416290666,494.51052572896884,471.7663333333333,22.744192395635537,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,11,01:50,2688.1558,0.0,2922.1783280579702,0.0,171.15870835101046,515.55617273483,448.02596666666665,67.53020606816341,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,12,02:00,2384.42,0.0,2954.3365432877035,0.0,188.62045143196931,523.8261657866121,397.4033333333333,126.42283245327883,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,13,02:10,2604.5438,0.0,2888.5765989042816,0.0,181.60420421382233,511.69680051968396,434.0906333333333,77.60616718635066,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,14,02:20,2943.3655,0.0,2894.770411780118,0.0,163.8774983938905,509.7746516956681,490.5609166666666,19.213735029001498,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,15,02:30,3019.32,0.0,2961.213380598916,0.0,146.30201894749374,517.919233257735,503.22,14.699233257734932,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,16,02:40,2844.4369,0.0,2930.746144998051,0.0,123.73256003245476,509.07978417175093,474.07281666666665,35.006967505084276,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,17,02:50,2768.3064,0.0,2933.7435244415415,0.0,139.57188734677015,512.2192352980519,461.38439999999997,50.83483529805193,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,18,03:00,2861.65,0.0,3007.3841683171127,0.0,161.7419348524901,528.1876838616004,476.94166666666666,51.2460171949337,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,19,03:10,2900.3973,0.0,3039.165144433249,0.0,147.7453146177217,531.1517431751623,483.39955,47.75219317516235,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,20,03:20,2919.6115,0.0,2990.77742008992,0.0,140.25834370349867,521.8392939655697,486.6019166666666,35.237377298903084,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,21,03:30,2993.09,0.0,2911.869864275756,0.0,171.38489392422707,513.8757930333304,498.84833333333336,15.027459699997053,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,22,03:40,3109.8584,0.0,2912.2736979121355,0.0,197.52932343050878,518.3005035571073,518.3005035571073,0.0,0.0,0.009229776225993191,0.0,0.0,0.0,10799.989744693083
2025-02-01,23,03:50,3054.8008,0.0,3063.0205883946323,0.0,196.98766080097832,543.3347081992683,509.1448614521303,34.189846747138006,0.011394785463683851,0.0,0.0,0.0,0.0,10800.0
2025-02-01,24,04:00,2901.7,0.0,3214.2008619332105,0.0,184.65555142480142,566.476068893002,483.6166666666666,82.85940222633536,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,25,04:10,2947.1208,0.0,3127.555582436882,0.0,171.31088519899654,549.811077939313,491.1868,58.624277939313004,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,26,04:20,3027.8717,0.0,3043.9889348128813,0.0,175.20272061520612,536.5319425713478,504.64528333333334,31.886659238014488,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,27,04:30,3033.47,0.0,3111.795030852686,0.0,195.0708428091466,551.1443122769721,505.57833333333326,45.56597894363881,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,28,04:40,3019.3858,0.0,3245.629897532353,0.0,195.7372780446442,573.5611959294995,503.23096666666663,70.33022926283286,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,29,04:50,3017.0819,0.0014,3291.6246457170264,0.0,155.1209620522661,574.457601294882,502.84675000000004,71.61085129488197,0.0,0.0,0.0,0.0,0.00023333333333333333,10800.0
2025-02-01,30,05:00,2997.85,0.0,3244.3057433759436,0.0,111.76148138808337,559.3445374606711,499.64166666666665,59.70287079400441,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,31,05:10,2932.7015,0.0,3226.1970362020966,0.0,132.28519941346306,559.7470392692599,488.78358333333335,70.9634559359265,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,32,05:20,2991.1125,0.0199,3221.7665078611476,0.0,180.61412792405838,567.0634392975343,498.51543333333336,68.54800596420091,0.0,0.0,0.0,0.0,0.0033166666666666665,10800.0
2025-02-01,33,05:30,3175.34,0.0,3238.839214841413,0.0,194.48982157293273,572.2215060690576,529.2233333333334,42.99817273572421,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,34,05:40,3284.4619,0.0,3306.080730108997,0.0,196.12116578992905,583.7003159831543,547.4103166666666,36.28999931648764,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,35,05:50,3187.3644,0.2774,3304.667430069782,0.0,176.98482131634654,140.72530511409977,140.72530511409977,0.0,0.0,390.4558615525669,0.0,0.0,0.04623333333333333,10366.160153830482
