issue_hour,hour_of_day,a_official,b_own,c_intercept,weight_source
0,0,0.5,0.5,0.0,夜间等权
0,1,0.5,0.5,0.0,夜间等权
0,2,0.5,0.5,0.0,夜间等权
0,3,0.5,0.5,0.0,夜间等权
0,4,0.5,0.5,0.0,夜间等权
0,5,0.01452159486564962,0.9544824848830022,-2.4865039789200947,逐小时回归
0,6,0.06386839973039397,0.9200910127269654,-24.463070016318273,逐小时回归
0,7,0.16083317424352264,0.8521170003188423,-156.5669340822117,逐小时回归
0,8,0.22857272001476509,0.7888375343508172,-231.79079294892128,逐小时回归
0,9,0.2841398875639011,0.7084764087221338,-92.3122690919461,逐小时回归
0,10,0.3251498655375225,0.6452826881399751,120.52837951769492,逐小时回归
0,11,0.3611013362544396,0.6059611583435975,254.7800821491281,逐小时回归
0,12,0.31841352971863945,0.6541713001855258,297.02003508885684,逐小时回归
0,13,0.23982084044992585,0.7274466765726575,336.37379707341483,逐小时回归
0,14,0.2032258632669427,0.7868965092729461,185.94092250116609,逐小时回归
0,15,0.1570067196643245,0.8433286301082814,115.48087181355027,逐小时回归
0,16,0.10358918689553429,0.9003851136842961,61.75990024202272,逐小时回归
0,17,0.061148037672202886,0.9523582121170797,4.840076514822237,逐小时回归
0,18,3.3386433092032504,0.9583964885483872,-0.8764356570981936,逐小时回归
0,19,0.5,0.5,0.0,夜间等权
0,20,0.5,0.5,0.0,夜间等权
0,21,0.5,0.5,0.0,夜间等权
0,22,0.5,0.5,0.0,夜间等权
0,23,0.5,0.5,0.0,夜间等权
6,6,0.06719936169274761,0.9166251087656434,-26.622095308931605,逐小时回归
6,7,0.1991320517381885,0.8234851115619685,-211.81041617734272,逐小时回归
6,8,0.3354380142184911,0.7059070321404636,-415.46386170239373,逐小时回归
6,9,0.4687241405631448,0.5612616978189183,-423.0829264532742,逐小时回归
6,10,0.5628814203321039,0.425961027744458,-98.16202462880852,逐小时回归
6,11,0.5919596393743879,0.36653482350409855,282.19076809972165,逐小时回归
6,12,0.5274971255897885,0.44538361049263137,317.1404479597424,逐小时回归
6,13,0.4249789461472457,0.5540849789150974,327.7671142297902,逐小时回归
6,14,0.32012738909752525,0.6866338518088064,156.91154336842257,逐小时回归
6,15,0.20655460542711349,0.8021346973093768,110.61237423837413,逐小时回归
6,16,0.11958398637772459,0.8885679938127984,63.28980763050369,逐小时回归
6,17,0.07125675371396938,0.9474202337202688,4.7960727380021435,逐小时回归
6,18,3.1704297310202834,0.9584061640237049,-0.8716404564533994,逐小时回归
6,19,0.5,0.5,0.0,夜间等权
6,20,0.5,0.5,0.0,夜间等权
6,21,0.5,0.5,0.0,夜间等权
6,22,0.5,0.5,0.0,夜间等权
6,23,0.5,0.5,0.0,夜间等权
12,12,0.8390021593762295,0.1603316587471605,151.72950315788142,逐小时回归
12,13,0.6741843659049676,0.3279807010577898,254.32126860357428,逐小时回归
12,14,0.44181355296877617,0.5857859259887485,107.10020468085831,逐小时回归
12,15,0.25626151050334006,0.7613307550149423,106.1662239665145,逐小时回归
12,16,0.12304791033507478,0.8848856424228396,64.96252257952477,逐小时回归
12,17,0.07247314898056242,0.9465087854245231,4.853236272773808,逐小时回归
12,18,3.22005610354503,0.958426913677617,-0.8714296265330249,逐小时回归
12,19,0.5,0.5,0.0,夜间等权
12,20,0.5,0.5,0.0,夜间等权
12,21,0.5,0.5,0.0,夜间等权
12,22,0.5,0.5,0.0,夜间等权
12,23,0.5,0.5,0.0,夜间等权
18,18,3.0544999311815704,0.9586013435685058,-0.8575339453857186,逐小时回归
18,19,0.5,0.5,0.0,夜间等权
18,20,0.5,0.5,0.0,夜间等权
18,21,0.5,0.5,0.0,夜间等权
18,22,0.5,0.5,0.0,夜间等权
18,23,0.5,0.5,0.0,夜间等权
