date,t,time_end,L_actual_kw,P_act_kw,L_fc_kw,P_fc_kw,x_plan_kwh,y_used_kwh,r_purchase_waste_kwh,u_charge_kwh,v_discharge_kwh,e_emergency_kwh,w_pv_waste_kwh,g_pv_used_kwh,E_end_kwh
2025-02-01,1,00:10,2532.1822,0.0,2615.908029257681,0.0,435.9846715429468,435.9846715429468,0.0,13.954304876280105,0.0,0.0,0.0,0.0,10797.364488012809
2025-02-01,2,00:20,2492.4439,0.0,2587.2352025405266,0.0,431.20586709008774,418.3356633191016,12.870203770986109,2.928346652434912,0.0,0.0,0.0,0.0,10800.0
2025-02-01,3,00:30,2464.3,0.0,2571.7036077744074,0.0,428.61726796240123,410.7166666666667,17.900601295734532,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,4,00:40,2581.7688,0.0,2691.215692694635,0.0,448.53594878243916,430.29479999999995,18.24114878243921,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,5,00:50,2546.4635,0.0,2823.361286822255,0.0,470.5602144703758,424.4105833333333,46.14963113704249,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,6,01:00,2436.31,0.0,2857.800464017903,0.0,476.30007733631714,406.0516666666666,70.24841066965053,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,7,01:10,2620.5011,0.0,2787.247661146507,0.0,464.5412768577512,436.7501833333333,27.791093524417875,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,8,01:20,2710.7861,0.0,2672.862406987987,0.0,445.47706783133117,445.47706783133117,0.0,0.0,6.320615502002113,0.0,0.0,0.0,10792.977093886664
2025-02-01,9,01:30,2676.48,0.0,2633.3638479523647,0.0,438.8939746587274,438.8939746587274,0.0,0.0,7.186025341272568,0.0,0.0,0.0,10784.99262128525
2025-02-01,10,01:40,2830.598,0.0,2767.2136477472177,0.0,461.20227462453624,461.20227462453624,0.0,0.0,10.564058708797063,0.0,0.0,0.0,10773.254778275475
2025-02-01,11,01:50,2688.1558,0.0,2912.7777798695965,0.0,485.4629633115994,477.7428796939161,7.720083617683315,29.716913027249472,0.0,0.0,0.0,0.0,10800.0
2025-02-01,12,02:00,2384.42,0.0,2944.471888366551,0.0,490.74531472775845,397.4033333333333,93.34198139442515,0.0,0.0,0.0,0.0,0.0,10800.0
