date,model,base_cost_yuan,breach_cost_yuan,overbuy_cost_yuan,grid_cost_yuan,two_way_grid_cost_yuan,reversal_gap_yuan,adjusted_kwh,emergency_kwh,emergency_cost_yuan,total_cost_yuan,planned_purchase_kwh,final_commitment_kwh,unused_plan_kwh,curtailed_pv_kwh,charge_kwh,discharge_kwh,start_soc_kwh,end_soc_kwh,emergency_slots
2025-02-01,M9,22077.58605360762,0.0,0.0,22077.58605360762,22077.58605360762,0.0,0.0,0.0,0.0,22077.58605360762,42267.20400762825,42267.20400762825,1520.9277506359435,2720.711608348176,19196.7827121621,15549.3939968513,10800.0,10800.0,0
2025-02-02,M9,56153.89453693873,0.0,0.0,56153.89453693873,56153.89453693873,0.0,0.0,0.0,0.0,56153.89453693873,88790.69909236512,88790.69909236512,6248.266170360452,59.174066666666704,21720.952133357947,17593.97122801994,10800.0,10800.0,0
2025-02-03,M9,55647.91655725968,0.0,61.54296795710837,55709.45952521679,55709.45952521679,0.0,60.24976413323907,0.0,0.0,55709.45952521679,88475.83931103765,88536.0890751709,4034.181842606664,0.0,22726.538121881917,18441.547389317697,10800.0,10763.27609934074,0
2025-02-04,M9,55299.131208144645,0.0,90.5537330992694,55389.68494124391,55389.68494124391,0.0,46.86682353816701,0.0,0.0,55389.68494124391,88170.69707392568,88217.56389746384,2432.67842640119,0.0,24307.688477963784,19717.666956901114,10763.27609934074,10731.676888506912,0
2025-02-05,M9,51830.16455127683,0.0,1973.4556592627914,53803.620210539615,53803.620210539615,0.0,1512.072896790349,997.1104670282584,5609.921136715139,59413.54134725475,83586.84201039036,85098.9149071807,795.4274168284912,0.0,24297.610037305847,19745.439063258702,10731.676888506912,10660.149185128064,8
2025-02-06,M9,53688.080493027825,0.0,475.27455656697504,54163.35504959479,54163.35504959479,0.0,603.4375126247527,108.54509221675237,570.744916082288,54734.09996567708,85458.0774630535,86061.51497567825,1483.302279441361,0.0,23931.42369171229,19515.723119925307,10660.149185128064,10514.293707752118,5
2025-02-07,M9,19568.779768835488,0.0,220.4801951342056,19789.259963969693,19789.259963969693,0.0,143.32109640927695,200.0484788616834,1021.516686158592,20810.776650128286,38089.6118329003,38232.93292930957,189.8426281811079,2971.4331262869555,19936.635394884685,16470.60940784815,10514.293707752118,10156.588443317054,6
2025-02-08,M9,17494.325456204988,0.0,2645.267113053156,20139.59256925815,20139.59256925815,0.0,2240.0512977684048,323.8895976966757,1979.9371107197785,22119.52967997793,34574.27160994703,36814.322907715425,59.95924770087038,1199.1951601615278,20973.63872109691,16671.743340213867,10156.588443317054,10508.704025399984,1
2025-02-09,M9,49559.28701069584,0.0,4820.964204927083,54380.25121562294,54380.25121562294,0.0,4320.949225807953,400.3409967611491,1859.9748274294034,56240.226043052346,79473.74084146752,83794.69006727546,237.69050435132453,0.0,23866.045675312656,19464.121082294034,10508.704025399984,10361.34393063246,9
2025-02-10,M9,51400.39577662083,0.0,984.0026997535706,52384.39847637439,52384.39847637439,0.0,779.4209952385679,7.43090434610383,34.80635595715034,52419.20483233154,81421.92570953167,82201.34670477023,3274.407645672114,328.1247000000001,21173.929935680506,16894.32225556962,10361.34393063246,10646.411699889788,1
