date,grid_cost_yuan,base_cost_yuan,breach_cost_yuan,overbuy_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,start_soc_kwh,end_soc_kwh
2025-01-01,73334.55887014855,43571.181338089795,0.0,29763.377532058763,35482.5639081674,108817.12277831596,7093.212859283347,6000.0,10605.731392244497
2025-01-02,66326.6199905843,64967.79827018605,1281.609662601314,77.21205779692603,0.0,66326.6199905843,0.0,10605.731392244497,10364.745701059941
2025-01-03,58104.75985112749,50496.566638982826,7608.1932121446325,3.381485385034467e-11,0.0,58104.75985112749,0.0,10364.745701059941,10800.0
2025-01-04,34079.21219722215,31754.697245129108,2324.5149520930363,7.75139312736428e-12,0.0,34079.21219722215,0.0,10800.0,10485.465026214235
2025-01-05,64129.23927186753,25197.150951299715,4.840671863348689e-13,38932.08832056782,94039.14264992694,158168.38192179447,17516.47667976194,10485.465026214235,8906.341489955119
2025-01-06,65702.04413219966,49270.70552504743,33.132671710341,16398.205935441885,19932.696612791828,85634.74074499149,3744.5181613035766,8906.341489955119,9937.668571438184
2025-01-07,65017.0146230121,60081.85084438191,76.76736554089398,4858.396413089296,77.10949129776395,65094.12411430987,13.275284720283025,9937.668571438184,10276.94717933325
2025-01-08,65487.75612549923,62712.5760594517,2775.180066047532,0.0,0.0,65487.75612549923,0.0,10276.94717933325,10537.148182507719
2025-01-09,64689.00928421249,63432.81781071894,764.6799764576052,491.5114970359429,55.725670727866394,64744.73495494035,9.593814363065576,10537.148182507719,10440.499885943158
2025-01-10,29157.895362312403,25437.14877091626,1591.739286612623,2129.007304783517,453.6637297499981,29611.5590920624,94.54696666666628,10440.499885943158,10110.634530579446
2025-01-11,27589.895350731884,25902.825114175124,625.0276819569028,1062.0425545998553,353.12450245611274,27943.019853187998,74.5428265508624,10110.634530579446,10203.728946459249
2025-01-12,64715.99779592728,61365.46788698569,977.6073714027019,2372.9225375388933,0.0,64715.99779592728,0.0,10203.728946459249,10247.575142329491
2025-01-13,61731.37832540674,60177.46553557083,1296.377765421817,257.53502441409,43.9158240678746,61775.29414947461,7.560613595226755,10247.575142329491,9939.259439814963
2025-01-14,62447.34462740376,60852.798411246666,429.62711827853326,1164.9190978785598,291.70051143851384,62739.04513884228,41.8148668919888,9939.259439814963,9901.977916400525
2025-01-15,62600.37324893184,59899.64905214023,223.75936459504047,2476.964832196575,1290.9860041933873,63891.35925312523,193.4448289083224,9901.977916400525,9948.116051578992
2025-01-16,61651.30127937043,59283.67282826186,725.9327513475657,1641.6956997610132,1484.3273828473868,63135.62866221782,259.43616961073405,9948.116051578992,9958.725617272918
2025-01-17,25176.05546402647,24611.191532157703,564.8639318687533,1.3940754683972046e-11,578.3370926948696,25754.39255672134,126.4035907592135,9958.725617272918,9823.349243967874
2025-01-18,26233.312598699464,24554.87429051695,693.3754321773642,985.0628760051504,0.0,26233.312598699464,0.0,9823.349243967874,9982.04005381471
2025-01-19,61002.72892847721,58556.44726623935,191.82174852239322,2254.4599137154655,1826.8298608736259,62829.558789350835,322.1843430059947,9982.04005381471,9958.026307059545
2025-01-20,59891.65450851595,59285.25578219261,398.71362519494363,207.6851011283988,2506.532714100464,62398.18722261642,498.0906936399982,9958.026307059545,10140.995510367835
2025-01-21,59524.05524887252,56692.10985705412,1525.2737582105171,1306.671633607886,0.0,59524.05524887252,0.0,10140.995510367835,10299.395287586345
2025-01-22,61435.449993427144,59029.5625656136,246.74842566156963,2159.1390021519665,0.0,61435.449993427144,0.0,10299.395287586345,9704.247825459766
2025-01-23,62771.8920695458,57757.12342856979,417.9770978686456,4596.791543107369,76.05868852852063,62847.95075807432,13.094376952486982,9704.247825459766,10042.55220062024
2025-01-24,24639.964013566165,22389.79492526564,573.6000289455852,1676.569059354942,0.0,24639.964013566165,0.0,10042.55220062024,9996.179661504138
2025-01-25,24640.564224740825,22399.71029982533,612.9931765372348,1627.860748378262,0.0,24640.564224740825,0.0,9996.179661504138,10027.196844254378
2025-01-26,61190.13840766224,58327.563496957984,799.9202761467891,2062.6546345574657,30.469950278478937,61220.60835794072,5.216117483262678,10027.196844254378,10086.729424606992
2025-01-27,57863.03907991421,55650.96678196204,588.9454066328711,1623.1268913193023,0.0,57863.03907991421,0.0,10086.729424606992,9862.884586555117
2025-01-28,60005.76225525621,56354.81327029296,399.77599545368133,3251.172989509568,1278.7500983493865,61284.5123536056,188.544343822242,9862.884586555117,9903.941227932368
2025-01-29,56858.962548972784,53736.40554116283,1125.2569742022217,1997.3000336077325,304.8774290666669,57163.839978039454,52.47143333333338,9903.941227932368,10372.895470901174
2025-01-30,57615.577427752934,55118.92812818432,147.21485861481477,2349.4344409537966,730.991989231074,58346.569416984006,155.29436016674236,10372.895470901174,9780.082801673676
2025-01-31,23431.98719028649,21689.980394421604,97.42096249992863,1644.5858333649585,0.0,23431.98719028649,0.0,9780.082801673676,10271.200070011897
2025-02-01,21823.94647118942,20457.4633315912,855.4822627644377,511.0008768337836,0.0,21823.94647118942,0.0,10271.200070011897,9788.384508204294
2025-02-02,54923.332343614944,52683.6889195342,1640.8282519057302,598.8151721750102,0.0,54923.332343614944,0.0,9788.384508204294,10004.745070207176
2025-02-03,55697.0173509704,52740.912589761014,1554.4996708106366,1401.6050903987482,544.4036975043191,56241.42104847472,123.25362416381728,10004.745070207176,9992.616144560114
2025-02-04,57046.81913223797,53565.20895068187,1373.3805702579311,2108.229611298171,0.0,57046.81913223797,0.0,9992.616144560114,9807.833435520197
2025-02-05,54530.12415736465,51639.758588503464,256.718076969104,2633.6474918920817,2886.2346504066504,57416.3588077713,438.03557903215886,9807.833435520197,9908.402800571672
2025-02-06,55391.00051994241,52036.87468372724,1141.1158101636076,2213.0100260515605,569.8274342806023,55960.827954223016,108.34729982436716,9908.402800571672,9796.626859846207
2025-02-07,20154.53522328051,19536.011013455456,303.27255657030736,315.2516532547468,1447.3539637133144,21601.889186993823,292.5583657096521,9796.626859846207,9480.188472128604
2025-02-08,20460.02365320924,17130.214003752793,61.63919963541886,3268.170449821027,2087.8055095533127,22547.82916276255,341.53533609574885,9480.188472128604,9780.881449367951
2025-02-09,54270.922550886666,49869.74849270466,23.280058388796682,4377.893999793208,1207.8826992920476,55478.80525017872,256.22850439875447,9780.881449367951,9495.346664032595
2025-02-10,51386.65377282671,48092.12952095027,1391.2603960196466,1903.2638558567935,170.64785781672668,51557.30163064344,37.50914558011357,9495.346664032595,9517.964914884087
2025-02-11,52054.00302551086,48316.42169375725,1009.4028786211227,2728.1784531324915,93.36626714690375,52147.369292657764,19.9330203131733,9517.964914884087,9493.365825641125
2025-02-12,52910.732850568624,48386.202703790135,1492.8368691519188,3031.69327762657,359.72454247437247,53270.457393043,80.68290762917448,9493.365825641125,9776.972879130222
