date,x_plan_kwh,C_plan_yuan,C_adjust_yuan,C_grid_yuan,e_emergency_kwh,C_emer_yuan,C_total_yuan,r_purchase_waste_kwh,w_pv_waste_kwh,u_charge_kwh,v_discharge_kwh,E_start_kwh,E_end_kwh,L_energy_kwh,P_act_energy_kwh
2025-02-01,42307.47807551015,17999.370045836073,0.0,17999.370045836073,0.0,0.0,17999.370045836073,1512.9732182950593,2728.66626054171,19237.056686352647,15549.394023012592,10763.753452296607,10800.0,76305.20628333333,41927.03035
2025-02-02,89091.88910163479,62250.17434347742,0.0,62250.17434347742,0.0,0.0,62250.17434347742,6275.363842659254,59.174066666666704,23163.543380573054,18762.470138264172,10800.0,10800.0,121705.97265,43349.69469999999
2025-02-03,88423.71281509622,62780.035045973695,40.12145187542289,62820.156497849115,0.0,0.0,62820.156497849115,3987.733972776495,0.0,22543.18605743967,18259.980706526138,10800.0,10800.0,122603.769,42386.85249999999
2025-02-04,88298.753649662,62462.101346061856,0.0,62462.101346061856,0.0,0.0,62462.101346061856,2489.044418859233,0.0,25016.32651277898,20401.481231976206,10800.0,10646.381381527524,121578.09884999998,40383.2349
2025-02-05,83744.43691847037,58380.10653540571,2173.881959882795,60553.988495288526,968.1112544802386,5441.929917304023,65995.91841259255,800.939995588874,0.0,24455.503304331643,19781.819102769554,10646.381381527524,10676.535352348725,121991.08443333334,41242.65745
2025-02-06,85598.20409997499,60361.365824794266,422.70604796773495,60784.07187276203,81.05402296458425,512.0999450940453,61296.17181785608,1461.0671555669996,0.0,24718.887972381635,20168.31672507376,10676.535352348725,10514.293721854681,122252.1627,41981.10548333333
2025-02-07,38149.927723233806,15914.642362899067,79.36535873757843,15994.007721636646,343.3695948572293,1435.3421406839611,17429.349862320607,305.32762752502447,2868.5019977179873,20346.999297416492,16674.226177610173,10514.293721854681,10299.6751144071,76168.59693333332,44362.91726666666
2025-02-08,34603.8269935123,13919.499008772296,2391.772149358906,16311.271158131203,323.88955412740796,1607.4638571343257,17918.735015265527,42.94300139581094,1199.1951552726382,21746.033053789804,17412.37758072078,10299.6751144071,10524.018662017066,75746.78751666666,44169.6248
2025-02-09,79671.01133524938,55001.35478183413,5419.882302642792,60421.23708447694,401.4207142735264,2027.738529611841,62448.97561408878,239.3544796445993,0.0,24927.3391084089,20330.256079946226,10524.018662017066,10369.450437422614,121547.90356666666,41992.48759999999
2025-02-10,81400.26714487151,55543.27902973475,340.33169467618086,55883.61072441093,0.0,0.0,55883.61072441093,3229.096006559381,315.79595719908025,21130.877290533826,17178.87081568435,10369.450437422614,10299.60575925378,121477.56451666665,47150.92693333333
