date,t,time_end,L_actual_kw,P_act_kw,L_fc_kw,P_fc_kw,c_actual_yuan_per_kwh,c_fc_yuan_per_kwh,R_reserve_kwh,x_plan_kwh,x_final_kwh,y_used_kwh,r_purchase_waste_kwh,u_charge_kwh,v_discharge_kwh,e_emergency_kwh,w_pv_waste_kwh,g_pv_used_kwh,E_end_kwh
2025-02-01,1,0:10,2532.1822,0.0,2615.908029257681,0.0,0.3281,0.33474975683343605,568.7034812824407,435.9846715429468,435.9846715429468,435.9846715429468,0.0,13.954304876280105,0.0,0.0,0.0,0.0,10776.31232668526
2025-02-01,2,0:20,2492.4439,0.0,2587.2352025405266,0.0,0.3257,0.345134678452656,568.7034812824407,431.20586709008774,431.20586709008774,431.20586709008774,0.0,15.798550423421034,0.0,0.0,0.0,0.0,10790.53102206634
2025-02-01,3,0:30,2464.3,0.0,2571.7036077744074,0.0,0.3041,0.30365944444764087,568.7034812824407,468.89120985506,468.89120985506,421.2377532596227,47.65345659543732,10.52108659295603,0.0,0.0,0.0,0.0,10800.0
2025-02-01,4,0:40,2581.7688,0.0,2691.215692694635,0.0,0.3126,0.31467405557448197,568.7034812824407,448.53594878243916,448.53594878243916,430.29479999999995,18.24114878243921,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,5,0:50,2546.4635,0.0,2823.361286822255,0.0,0.3286,0.3498639317032402,568.7034812824407,470.5602144703758,470.5602144703758,424.4105833333333,46.14963113704249,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,6,1:00,2436.31,0.0,2857.800464017903,0.0,0.3438,0.3675916053993729,568.7034812824407,476.30007733631714,476.30007733631714,406.0516666666666,70.24841066965053,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,7,1:10,2620.5011,0.0,2787.247661146507,0.0,0.3704,0.35712776812324826,568.7034812824407,464.5412768577512,464.5412768577512,436.7501833333333,27.791093524417875,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,8,1:20,2710.7861,0.0,2672.862406987987,0.0,0.3746,0.34386115644611914,568.7034812824407,445.47706783133117,445.47706783133117,445.47706783133117,0.0,0.0,6.320615502002113,0.0,0.0,0.0,10792.977093886664
2025-02-01,9,1:30,2676.48,0.0,2633.3638479523647,0.0,0.3606,0.34596398643805937,568.7034812824407,438.8939746587274,438.8939746587274,438.8939746587274,0.0,0.0,7.186025341272568,0.0,0.0,0.0,10784.99262128525
2025-02-01,10,1:40,2830.598,0.0,2767.2136477472177,0.0,0.3582,0.35767106277274713,568.7034812824407,461.20227462453624,461.20227462453624,461.20227462453624,0.0,0.0,10.564058708797063,0.0,0.0,0.0,10773.254778275475
2025-02-01,11,1:50,2688.1558,0.0,2912.7777798695965,0.0,0.3041,0.34465785827935147,568.7034812824407,485.4629633115994,485.4629633115994,477.7428796939161,7.720083617683315,29.716913027249472,0.0,0.0,0.0,0.0,10800.0
