date,base_cost_yuan,breach_cost_yuan,overbuy_cost_yuan,grid_cost_yuan,adjusted_kwh,emergency_kwh,emergency_cost_yuan,total_cost_yuan,planned_purchase_kwh,final_commitment_kwh,unused_plan_kwh,curtailed_pv_kwh,charge_kwh,discharge_kwh,start_soc_kwh,end_soc_kwh,emergency_slots,reversal_slots,down_slots,path_down_kwh,path_up_kwh,below_min_kwh,chain_misprice_yuan
2025-02-01,16797.677660296904,601.0786149243812,202.29133478127642,17601.04761000256,2806.6899459748083,0.0,0.0,17601.04761000256,42307.47800576233,40142.89845537763,848.2717660061297,1451.4358133744859,19472.732868063427,16007.717925399736,10763.753401679325,10502.85973249226,0,16,39,2485.634748179754,321.05519779505426,2484.2105442086404,0.0
2025-02-02,58558.93481835732,1908.5434005780128,502.82301689954346,60970.30123583487,4701.173033047247,0.0,0.0,60970.30123583487,89374.79199978875,85552.77085800757,2274.497087632436,0.0,24704.816251968678,19782.82043159352,10502.85973249226,10756.282768604604,0,31,74,4261.5970874142085,439.5759456330389,4261.597087414196,0.0
2025-02-03,59452.73247301544,1674.257543237253,1494.4545858441654,62621.44460209686,4884.149204910853,0.0,0.0,62621.44460209686,88472.28737019825,85961.59272017528,1152.779826554497,0.0,24050.450600569267,19458.55420694848,10756.282768604604,10781.072523618634,0,38,75,3697.4219274669103,1186.7272774439411,3697.4219274669094,0.0
2025-02-04,59304.958712843814,1583.005576561271,4034.4403152377686,64922.404604642856,6325.683984929558,127.38027783557088,594.762238864402,65517.16684350726,88319.78403698382,87392.95493803684,1844.9636173467684,0.0,24538.34823097734,20057.84058245169,10781.072523618634,10579.096395440816,2,38,73,3626.2565419382677,2699.4274429912894,3626.2565419382613,0.0
2025-02-05,57634.26252088622,392.34133503956264,2806.272565748494,60832.87642167428,3171.438130081732,968.1113138465378,5441.930306182966,66274.80672785724,83819.19786005154,84792.93698587509,297.725664655943,0.0,24353.68733186154,19638.79168012919,10579.096395440816,10676.535349528212,8,1,16,1098.8495021291,2072.588627952632,1096.14612332131,0.0
2025-02-06,58357.238138806635,1002.0638253767444,2457.642834907769,61816.94479909115,4015.4005633284305,110.4441601073674,669.7486115198135,62486.69341061096,85598.20394705333,84968.65788673345,308.9461315301596,0.0,24447.979874960354,19948.881176316372,10676.535349528212,10514.293707752118,5,18,64,2322.4733118241675,1692.9272515042649,2322.4733118241675,0.0
2025-02-07,15617.642265873894,148.50003266716294,443.1445797157006,16209.286878256758,1208.2858323407077,388.7948746404288,1623.4474074736468,17832.734285730407,38149.92760570819,38197.28956034093,198.29321870072602,2868.5019326065785,20370.26721220022,16656.657595192828,10514.293707752118,10340.136870740278,3,14,35,580.4619388539812,627.8238934867265,580.4619388539812,0.0
2025-02-08,13791.15767281898,65.69354418066901,2634.574822142916,16491.426039142563,2826.466922398886,323.8895976966757,1617.7160802275798,18109.142119370143,34567.41135859946,36792.6511553648,42.94300139581094,1199.1951601615278,21746.033032298106,17448.79315746064,10340.136870740278,10524.018647074538,2,2,2,300.6135628167729,2525.8533595821136,275.598999582354,0.0
2025-02-09,54839.906394838756,82.53200561283413,5658.9218686477325,60581.36026909932,5079.665650540636,403.16847142191114,2035.9188639736192,62617.27913307294,79671.01120983412,83970.09811646675,237.69050435132453,0.0,24902.003915751993,20321.84379888132,10524.018647074538,10355.995728049871,9,1,3,390.289371954005,4689.376278586631,381.37720877074344,0.0
2025-02-10,53084.12825300578,1283.3044152797454,1453.347116375543,55820.77978466107,4963.096679942913,7.430904346103148,38.41777546935327,55859.19756013042,81365.39457975964,78824.33606680646,423.3431892230458,130.09416890590091,21117.22829693749,17165.536267247215,10355.995728049871,10288.68312057449,1,12,33,3752.0775964480517,1211.0190834948617,3746.633272566507,0.0
2025-02-11,53770.92298888531,710.6541978620306,1435.6356210410327,55917.21280778837,3149.453579778606,271.64065043822245,1405.4343456310755,57322.64715341944,80602.49942438539,79687.18819619746,337.49326953467903,0.0,23557.88998204755,19157.151538279875,10288.68312057449,10205.06017299521,5,8,31,2032.382403983266,1117.07117579534,2028.5774179222199,0.0
2025-02-12,53192.65404005584,1327.5596916125976,2980.307724637297,57500.52145630573,5988.024039926447,18.079967401927433,98.0657431880544,57598.587199493784,81786.49558336874,80566.40146917995,628.5811882385817,0.0,23574.63713506201,18885.473020052028,10205.06017299521,10438.374683382106,1,41,67,3604.059077057612,2383.9649628688344,3604.0590770576114,0.0
2025-02-13,52267.96959342594,1402.7851361077244,1035.6731720670575,54706.42790160073,4762.676836737766,0.0,0.0,54706.42790160073,81318.41900318743,77680.0134437075,2151.981317840856,179.6137798189909,20475.104404021098,16456.165074640092,10438.374683382106,10581.340786289891,0,1,44,4200.541198108844,562.1356386289224,4197.939456108948,0.0
2025-02-14,15066.13483570656,101.63314881993148,1480.3371521378212,16648.105136664315,1947.9856382480787,0.0,0.0,16648.105136664315,36593.765499325,37310.95308949641,147.7378663409363,3231.04783279171,20949.795084302958,16819.429510605856,10581.340786289891,10747.90135037826,0,1,1,615.3990240383378,1332.5866142097411,615.3990240383375,0.0
