date,t,time_end,L_actual_kw,P_act_kw,L_fc_kw,P_fc_kw,x_plan_kwh,y_used_kwh,r_purchase_waste_kwh,u_charge_kwh,v_discharge_kwh,e_emergency_kwh,w_pv_waste_kwh,g_pv_used_kwh,E_end_kwh
2025-02-01,1,00:10,2532.1822,0.0,2615.908029257681,0.0,435.9846715429468,435.9846715429468,0.0,13.954304876280105,0.0,0.0,0.0,0.0,10776.312276067978
2025-02-01,2,00:20,2492.4439,0.0,2587.2352025405266,0.0,431.20586709008774,431.20586709008774,0.0,15.798550423421034,0.0,0.0,0.0,0.0,10790.530971449058
2025-02-01,3,00:30,2464.3,0.0,2571.7036077744074,0.0,468.89126609648434,421.237809501047,47.65345659543732,10.521142834380347,0.0,0.0,0.0,0.0,10800.0
2025-02-01,4,00:40,2581.7688,0.0,2691.215692694635,0.0,448.53594878243916,430.29479999999995,18.24114878243921,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,5,00:50,2546.4635,0.0,2823.361286822255,0.0,470.5602144703758,424.4105833333333,46.14963113704249,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,6,01:00,2436.31,0.0,2857.800464017903,0.0,476.30007733631714,406.0516666666666,70.24841066965053,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,7,01:10,2620.5011,0.0,2787.247661146507,0.0,464.5412768577512,436.7501833333333,27.791093524417875,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,8,01:20,2710.7861,0.0,2672.862406987987,0.0,445.47706783133117,445.47706783133117,0.0,0.0,6.320615502002113,0.0,0.0,0.0,10792.977093886664
2025-02-01,9,01:30,2676.48,0.0,2633.3638479523647,0.0,438.8939746587274,438.8939746587274,0.0,0.0,7.186025341272568,0.0,0.0,0.0,10784.99262128525
2025-02-01,10,01:40,2830.598,0.0,2767.2136477472177,0.0,461.20227462453624,461.20227462453624,0.0,0.0,10.564058708797063,0.0,0.0,0.0,10773.254778275475
2025-02-01,11,01:50,2688.1558,0.0,2912.7777798695965,0.0,485.4629633115994,477.7428796939161,7.720083617683315,29.716913027249472,0.0,0.0,0.0,0.0,10800.0
2025-02-01,12,02:00,2384.42,0.0,2944.471888366551,0.0,490.74531472775845,397.4033333333333,93.34198139442515,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,13,02:10,2604.5438,0.0,2878.777522025564,0.0,479.7962536709273,434.0906333333333,45.705620337593984,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,14,02:20,2943.3655,0.0,2884.328704340999,0.0,480.72145072349986,480.72145072349986,0.0,0.0,9.839465943166772,0.0,0.0,0.0,10789.067260063148
2025-02-01,15,02:30,3019.32,0.0,2947.245286596521,0.0,491.2075477660868,491.2075477660868,0.0,0.0,12.012452233913223,0.0,0.0,0.0,10775.720090914356
2025-02-01,16,02:40,2844.4369,0.0,2912.744648443182,0.0,485.457441407197,485.457441407197,0.0,11.384624740530342,0.0,0.0,0.0,0.0,10785.966253180834
2025-02-01,17,02:50,2768.3064,0.0,2912.7489991155057,0.0,485.45816651925094,476.9774520212961,8.480714497954864,15.59305202129609,0.0,0.0,0.0,0.0,10800.0
2025-02-01,18,03:00,2861.65,0.0,2987.805299607014,0.0,497.96754993450236,476.94166666666666,21.025883267835695,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,19,03:10,2900.3973,0.0,3023.4885334413107,0.0,503.91475557355176,483.39955,20.515205573551782,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,20,03:20,2919.6115,0.0,2977.6360547193244,0.0,496.27267578655403,486.6019166666666,9.670759119887407,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,21,03:30,2993.09,0.0,2899.388093337757,0.0,483.23134888962613,483.23134888962613,0.0,0.0,15.616984443707224,0.0,0.0,0.0,10782.647795062547
2025-02-01,22,03:40,3109.8584,0.0,2897.959450043362,0.0,482.99324167389364,482.99324167389364,0.0,0.0,35.316491659439635,0.0,0.0,0.0,10743.40724877428
2025-02-01,23,03:50,3054.8008,0.0,3047.0777791693054,0.0,507.8462965282175,507.8462965282175,0.0,0.0,1.2871701384491416,0.0,0.0,0.0,10741.977059731558
2025-02-01,24,04:00,2901.7,0.0,3199.4398352900416,0.0,533.2399725483402,533.2399725483402,0.0,49.623305881673616,0.0,0.0,0.0,0.0,10786.638035025064
2025-02-01,25,04:10,2947.1208,0.0,3115.742869124883,5.21505376344086e-05,519.2904694957241,506.0334277499291,13.257041745794993,14.84662774992911,0.0,0.0,0.0,0.0,10800.0
2025-02-01,26,04:20,3027.8717,0.0,3035.878173394163,5.21505376344086e-05,505.9796868739375,504.64528333333334,1.3344035406041712,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,27,04:30,3033.47,0.0,3104.6797063231115,5.21505376344086e-05,517.4466090287623,505.57833333333326,11.86827569542902,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,28,04:40,3019.3858,0.0,3235.167807547611,5.21505376344086e-05,539.1946258995122,503.23096666666663,35.963659232845544,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,29,04:50,3017.0819,0.0014,3277.1020104591184,5.21505376344086e-05,546.1836597180967,502.84675000000004,43.33690971809665,0.0,0.0,0.0,0.0,0.00023333333333333333,10800.0
2025-02-01,30,05:00,2997.85,0.0,3228.1933799667418,5.21505376344086e-05,538.0322213027006,499.64166666666665,38.390554636033926,0.0,0.0,0.0,0.0,0.0,10800.0
2025-02-01,31,05:10,2932.7015,0.0,3211.0252893242905,0.01802096774193549,535.1678780594248,488.78358333333335,46.38429472609141,0.0,0.0,0.0,0.0,0.0,10800.0
