date,planned_purchase_kwh,planned_cost_yuan,emergency_kwh,emergency_cost_yuan,total_cost_yuan,unused_plan_kwh,curtailed_pv_kwh,charge_kwh,discharge_kwh,start_soc_kwh,end_soc_kwh,reserve_kwh
2025-02-01,42370.1225735535,20183.867804818034,0.0,0.0,20183.867804818034,1196.920778371665,3767.083189568117,14896.741922291601,11868.79925001122,10580.486992172244,10800.0,2734.9882966839127
2025-02-02,87718.32390719155,63831.19015486976,0.0,0.0,63831.19015486976,5647.779131860023,143.10248333333334,18795.601799990436,15224.437457992248,10800.0,10800.0,2588.5609110740475
2025-02-03,85184.65636138385,62713.97458713355,0.0,0.0,62713.97458713355,1336.6773154317366,0.0,19170.20219772122,15539.139651769085,10800.0,10787.471253761234,2442.133525464182
2025-02-04,84777.36284236747,61961.00657425451,0.0,0.0,61961.00657425451,1545.7022520391142,0.0,19974.135247575105,17937.338607246733,10787.471253761234,8833.816746304681,2295.706139854317
2025-02-05,84597.4285833913,60785.67131131457,217.88688039895067,1258.6231731553848,62044.29448446995,131.3708618167111,0.0,21653.460055698768,17717.942437058548,8833.816746304681,8635.328088590744,2149.2787542444516
2025-02-06,84954.96634952897,60803.94339198642,54.76703333333364,388.5189420000022,61192.46233398642,201.57691613318707,0.0,22315.702238975326,17778.602988912866,8635.328088590744,8965.45678265423,2089.889045477774
2025-02-07,40063.74803250494,17533.485478447416,0.0,0.0,17533.485478447416,289.8977318733461,3593.714579884132,19365.02880505238,14990.572750971576,8965.45678265423,9737.790761677397,2072.481510109136
2025-02-08,37198.61186149582,15937.908924723386,0.0,0.0,15937.908924723386,1.950770782552695,2345.4997884774075,19228.114110832204,15954.115525263009,9737.790761677397,9316.298433356375,2055.0739747404978
2025-02-09,78095.08540432382,55084.676171854066,3811.223598534191,22079.244966701706,77163.92113855577,2.2737367544323206e-13,0.0,17687.805394019382,15336.912357828045,9316.298433356375,8194.309557053773,2347.9287459602306
2025-02-10,83135.74610422287,58343.90592377393,0.0,0.0,58343.90592377393,2906.449381691933,499.6630333333335,19777.01509029606,14374.018984431797,8194.309557053773,10022.49093339601,2777.5457892440745
2025-02-11,78764.19373182706,55925.28486435841,0.0,0.0,55925.28486435841,300.91033935196026,0.0,19915.77050720747,16673.084248065694,10022.49093339601,9421.035225365295,2734.9882966839127
2025-02-12,80164.87829624268,56358.95090077096,0.0,0.0,56358.95090077096,729.8113727159513,163.38428333333331,20216.983694787057,16212.03718792699,9421.035225365295,9602.945897421427,2605.9684464426878
2025-02-13,80918.55170565951,56761.41834004223,0.0,0.0,56761.41834004223,4728.223553166351,558.6377833333336,17864.283948129698,13562.072595636542,9602.945897421427,10611.831900030887,2476.9485962014583
2025-02-14,38017.20386974074,16971.81461660401,0.0,0.0,16971.81461660401,178.49098375779204,4724.623424631642,18131.146230373157,14818.858585688511,10611.831900030887,10464.465078823936,2347.9287459602283
2025-02-15,37756.69423590413,17524.88918668773,0.0,0.0,17524.88918668773,112.56564777399024,5690.061280483325,15839.492263770808,13165.51605612399,10464.465078823936,10091.656942746567,2722.6904260087995
2025-02-16,79564.1185131741,56660.575393805906,0.0,0.0,56660.575393805906,242.80512857919143,0.0,18783.5889385977,14839.654654002788,10091.656942746567,10508.381816370282,2719.6159583400213
2025-02-17,78548.69853532613,55520.62693667445,0.0,0.0,55520.62693667445,3083.255678256839,882.1082833333332,17301.262354890096,13901.790947820802,10508.381816370282,10633.083549303808,2593.6705757675745
2025-02-18,75947.85647547108,52809.684061252214,0.0,0.0,52809.684061252214,636.8221668228917,95.83631069958756,17788.525988005757,14664.71577339049,10633.083549303808,10348.628301408446,2467.725193195123
2025-02-19,75847.7224766961,52471.48098282468,27.0,144.4905,52615.97148282468,507.4160941208605,0.0,18405.077179016804,15917.098179774894,10348.628301408446,9227.533118329242,2341.7798106226765
2025-02-20,76962.0080591205,53009.66175970089,30.205759172098055,169.46941183505615,53179.13117153594,901.9994285630205,0.0,19414.620831986682,14317.540175590422,9227.533118329242,10792.313894239009,2215.834428050225
2025-02-21,36898.63343897037,16639.161281107063,0.0,0.0,16639.161281107063,415.3610677915302,7731.176851692526,16762.715741937292,13570.882255784312,10792.313894239009,10800.0,2089.889045477774
2025-02-22,36811.22502867898,16626.066447678324,0.0,0.0,16626.066447678324,222.9180416889409,5542.015290852982,17478.9633985661,14277.434585762378,10800.0,10667.250852306859,2072.4815101091363
2025-02-23,76549.58005862695,52839.839754459725,8.202059120019157,42.40464565049905,52882.24440011023,1270.4613748509666,190.1928163564428,18682.227731149254,15116.953487943034,10667.250852306859,10684.640823737825,2081.4069878876376
2025-02-24,75291.690284688,51490.586370350735,25.397073484472457,129.76634696891205,51620.35271731965,2419.0852719297004,1224.353383333333,18536.486254974803,15065.871168732043,10684.640823737825,10627.621599068427,2077.1659590925697
2025-02-25,73223.74471032615,49342.06664758771,31.095000000000027,159.57954000000012,49501.64618758771,2361.641264982827,1545.3278134817465,18372.18036675838,14845.632968230128,10627.621599068427,10667.436186673052,2072.9249302975018
2025-02-26,70765.29162458179,48159.84617125158,214.32577817659546,1053.5660943994271,49213.41226565101,356.7873945475816,0.0,17799.57937118189,15991.597396304423,10667.436186673052,8918.6160692874,2068.6839015024334
2025-02-27,72520.35895827484,47645.3563499368,3.044754857834505,15.444519016365525,47660.80086895317,1025.2739439509487,0.0,21273.622909178128,16732.0773399964,8918.6160692874,9473.67964310728,2055.5173949288637
2025-02-28,37015.98807728203,15947.373918547244,0.0,0.0,15947.373918547244,277.3985821158678,8904.79082784032,18173.47186884957,13632.266751523732,9473.67964310728,10682.841267823302,2042.3508883552936
2025-03-01,35853.04793963597,15678.103902475006,0.0,0.0,15678.103902475006,186.5704533759021,8841.443931943213,17137.525770483713,13971.258149500187,10682.841267823302,10582.994295147324,2029.184381781724
2025-03-02,71614.5870597158,48104.053418936775,3082.277782238529,17186.711862224613,65290.76528116139,926.4369729536814,0.0,16288.561804131505,14876.44100179751,10582.994295147324,8713.321027979558,2016.0178752081538
2025-03-03,76673.59881005246,51195.51518793598,16.558059207030556,81.37247773958896,51276.88766567557,649.2153229880056,0.0,21677.919972965672,17654.125060027523,8713.321027979558,8607.754492506978,2068.6839015024334
2025-03-04,77239.83223041885,51801.41210894563,0.0,0.0,51801.41210894563,2031.6780332765127,783.1469000000002,20296.862809902494,15071.313446093489,8607.754492506978,10129.027192426456,2055.5173949288637
2025-03-05,73762.46752744992,48725.05467789568,3.286666666666747,15.835160000000387,48740.88983789568,3704.0229961982886,625.9976666666664,18071.08298416113,14765.821469576165,10129.027192426456,9986.533578642393,2042.3508883552936
2025-03-06,69819.620963848,45887.55587962878,0.0,0.0,45887.55587962878,819.188104094472,803.271483333333,18087.196693083104,15830.689449996236,9986.533578642393,8675.355657976925,2029.184381781724
2025-03-07,35767.39588034675,15076.68124555249,0.0,0.0,15076.68124555249,64.50643887138631,10078.876254624498,16631.206582142164,11929.478928624636,8675.355657976925,10388.464994544165,2016.0178752081538
2025-03-08,32497.776934024383,13860.820133134559,0.0,0.0,13860.820133134559,101.92151656308516,10112.837646838278,17767.78923881436,14547.910984858005,10388.464994544165,10215.129770745967,2002.8513686345837
2025-03-09,68276.3998543378,44126.123090503504,0.0,0.0,44126.123090503504,1071.735566678039,253.33214616554073,19766.658468099005,16148.851376604782,10215.129770745967,10061.954195807535,1960.690455626009
2025-03-10,66737.68854912027,44340.54702843606,3127.2795412952228,19312.029508174775,63652.57653661084,49.03609608281977,0.0,15908.581738170162,14134.721193837482,10061.954195807535,8674.431989230143,1918.5295426174328
2025-03-11,70763.11580099195,45964.19878060435,0.0,0.0,45964.19878060435,1407.330677973593,1125.0920087485908,19380.338725626403,15088.564411356636,8674.431989230143,9351.665274119865,2029.184381781724
2025-03-12,69290.30696201509,44736.80174549147,0.0,0.0,44736.80174549147,1437.8340008605985,1211.6173333333331,19334.754848387074,15129.433903899251,9351.665274119865,9942.462522224625,2016.0178752081538
2025-03-13,66863.89972742177,43977.02801889633,2669.7876099033665,16647.575567813878,60624.603586710204,50.194322498519796,0.0,16283.830268151929,14345.955269991975,9942.462522224625,8657.959463570274,2002.8513686345837
2025-03-14,35228.587011927564,14999.082420872543,0.0,0.0,14999.082420872543,512.8134949980385,13578.483353212343,16736.987882089976,11629.123701706123,8657.959463570274,10800.0,2055.5173949288637
2025-03-15,32887.41980050225,14532.092085282668,0.0,0.0,14532.092085282668,417.012199174679,8587.12194896244,17210.61580397038,14251.455301605252,10800.0,10454.603888456397,2042.3508883552936
2025-03-16,68430.66307952232,44724.562011672126,1.6400000000001,8.081100000000493,44732.64311167213,869.3985254193808,322.9277000000001,18831.965370422993,14943.035449653387,10454.603888456397,10800.0,2077.1659590925697
2025-03-17,68072.61292272105,43648.34684390577,0.0,0.0,43648.34684390577,4542.061905619708,2558.9210992057533,16386.834129275085,13273.335644712819,10800.0,10800.0,2072.9249302975018
2025-03-18,63671.177955153194,41276.94853899063,0.0,0.0,41276.94853899063,334.28786745942114,0.0,17890.71533047838,15679.78360945127,10800.0,9479.662009151358,2068.6839015024334
2025-03-19,64922.59452799626,41445.39653577958,0.0,0.0,41445.39653577958,601.0101734892694,0.0,20175.794853716332,15319.680949209334,9479.662009151358,10616.00965615235,2055.5173949288637
2025-03-20,64122.48500630241,41540.79768938075,216.80493947762773,1029.2701741613732,42570.06786354212,349.4262406764614,0.0,17543.797538641935,15762.895650205024,10616.00965615235,8891.098940702288,2042.3508883552936
2025-03-21,33429.359084605356,14023.523238796215,0.0,0.0,14023.523238796215,531.2546529050243,15955.07381633954,17542.907521769666,12633.341423075537,8891.098940702288,10642.6696846555,2029.184381781724
2025-03-22,32236.215470150863,13991.125843535538,0.0,0.0,13991.125843535538,438.0689420556596,12578.93907566005,16973.328034687314,13635.320315585494,10642.6696846555,10768.309009667975,2016.0178752081538
2025-03-23,63140.78992751343,40207.796469385394,0.0,0.0,40207.796469385394,818.4620569997985,0.0,19150.223922644866,15597.616168797893,10768.309009667975,10672.825908050694,2002.8513686345837
2025-03-24,61936.41934817657,39977.52696709856,0.0,0.0,39977.52696709856,585.8426690239344,304.84551311814585,18370.506296532978,15323.272213831815,10672.825908050694,10180.4235595617,1960.6904556260074
2025-03-25,61356.57154648347,39386.577009738736,1551.9561467921237,8478.47811408047,47865.055123819206,67.44789682447225,0.0,16527.080014774067,14636.12493498961,10180.4235595617,8792.434533981012,1918.5295426174343
2025-03-26,63950.008932979006,40619.566794320825,0.0,0.0,40619.566794320825,1183.3187960090943,1596.2631762864944,19871.35430863253,14293.48221461577,8792.434533981012,10795.006506621658,2029.184381781724
2025-03-27,61196.25410897968,39001.05388347454,0.0,0.0,39001.05388347454,626.5851192259128,0.0,17224.603572926444,15371.923983172677,10795.006506621658,9217.234185396926,2016.0178752081538
